token,count,proportion
daiin,864,0.022756604419627572
ol,539,0.014196539099744516
chedy,501,0.013195669923881265
aiin,470,0.012379171385677035
shedy,427,0.0112466088972002
chol,396,0.01043011035899597
or,367,0.009666289145837174
ar,353,0.009297547870519136
chey,344,0.00906049990781468
dar,319,0.008402033344746753
qokeey,308,0.008112308056996866
qokeedy,305,0.008033292069428714
shey,283,0.007453841493928939
qokain,279,0.00734848684383807
qokedy,272,0.00716411620617905
dy,271,0.007137777543656333
qokaiin,262,0.006900729580951879
al,261,0.006874390918429162
s,255,0.00671635894329286
dal,253,0.006663681618247426
