locator,raw_text,tags
"f1r.4,+P0;H",o<!@o'>oiin.oteey.oteos.roloty.cth?ar.daiin.otaiin.or.okan,<!@o'>
"f1r.6,=Pt;H",ydar!aish!!!y<$>,<$>
"f1r.7,*P0;H",?<!@252>.odar.o.!!!!y.shol.cphoy.oydar.sh!.s.cfhoaiin.shodary,<!@252>
"f1r.10,=Pt;H",dain.os.teody<$>,<$>
"f1r.11,*P0;H",?<!@253>.ydain.cphesaiin.ol.s.cphey.ytain.shoshy.cphodal!es,<!@253>
"f1r.15,+P0;H",daiin.shckhey.ck<!@K>eor.chor.shey.kol.chol.chol.kor.chal,<!@K>
"f1r.19,+P0;H",dchar.shcthaiin.okaiir.chey.rchy.!potol.cthols.dloct<!@T>a,<!@T>
"f1r.21,=Pt;H",otol.daiiin<$>,<$>
"f1r.28,=Pt;H",dchaiin<$>,<$>
"f1v.1,@P0;H",kchsy.chadaiin.ol<-><!plant>oltchey.char.cfhar.am,<-> <!plant>
"f1v.2,+P0;H",yteeay.char.or.ochy<-><!plant>dcho.lkody.okodar.chody,<-> <!plant>
"f1v.3,+P0;H",d!o.ckhy.ckho.ckhy.shy<-><!plant>dksheey.cthy.kotchody.dal,<-> <!plant>
"f1v.4,+P0;H",dol.chokeo.dair.dam<-><!plant>sochey.chokody<$>,<-> <!plant> <$>
"f1v.5,+P0;H",potoy.shol.dair.cphoal<-><!plant>dar.chey.tody.otoaiin.shoshy,<-> <!plant>
"f1v.6,+P0;H",choky.chol.cthol.shol.okal<-><!plant>dolchey.chodo.lol.chy.cthy,<-> <!plant>
"f1v.7,+P0;H",qo.ol.choeee.cheol.dol.cthey<-><!plant>ykol.dol.dolo.ykol.do.l!ch!!ody,<-> <!plant>
"f1v.8,+P0;H",okol.shol.kol.kechy.chol.ky<-><!plant>chol.cthol.chody.chol.daiin,<-> <!plant>
"f1v.9,+P0;H",shor.okol.chol.dol.ky.dar<-><!plant>shol.dchor.otcho.dar.shody,<-> <!plant>
"f1v.10,+P0;H",taor.chotchey.dal.chody<-><!plant>schody.pol.chodar<$>,<-> <!plant> <$>
"f2r.1,@P0;H",kydainy.ypchol.daiin.otchal<-><!plant>ypchaiin.ckholsy<-><!plant>,<-> <!plant> <-> <!plant>
"f2r.2,+P0;H",dorchory<-><!plant>chkar.s<-><!plant>shor.cthy.cth!,<-> <!plant> <-> <!plant>
"f2r.3,+P0;H",qotaiin<-><!plant>cthey.y<-><!plant>chor.chy.ydy<-><!plant>chaiin,<-> <!plant> <-> <!plant> <-> <!plant>
"f2r.4,+P0;H",chaindy<-><!plant>chtod.dy<-><!plant>cphy.dal!s<-><!plant>chokaiin.d,<-> <!plant> <-> <!plant> <-> <!plant>
"f2r.5,+P0;H",otochor.al<-><!plant>shodaiin<-><!plant>chol.!dan<-><!plant>ytchaiin.dan,<-> <!plant> <-> <!plant> <-> <!plant>
"f2r.6,+P0;H",saiin.daind<-><!plant>d!kol.sor<-><!plant>ytoldy<-><!plant>dchol.dchy.cthy,<-> <!plant> <-> <!plant> <-> <!plant>
"f2r.7,+P0;H",shor.ckhy.daiiny<-><!plant>chol.dan<$><!plant>,<-> <!plant> <$> <!plant>
"f2r.8,+P0;H",kydain.shaiin.qoy.s.shol.fodan<-><!plant>yksh.olsheey.daiildy,<-> <!plant>
"f2r.9,+P0;H",dlssho.kol.sheey.qokey.ykody.so<-><!plant>chol.yky.dain.daiirol,<-> <!plant>
"f2r.10,+P0;H",qoky.cholaiin.shol.sheky.daiin<-><!plant>cthey.keol.s!aiin.saiin,<-> <!plant>
"f2r.11,+P0;H",ychain.dal.chy.dalor.shan.dan<-><!plant>olsaiin.sheey.ckhor,<-> <!plant>
"f2r.12,+P0;H",okol.chy.chor.cthor.yor.an.chan<-><!plant>saiin.chety.chyky.sal,<-> <!plant>
"f2r.13,+P0;H",sho.ykeey.chey.daiin.chcthy<$>,<$>
"f2v.1,@P0;H",kooiin.cheo.pchor.otaiin.o.dain.chor<-><!plant>dair.shty,<-> <!plant>
"f2v.2,+P0;H",kcho.kchy.sho.shol.qotcho.loeees.qoty<-><!plant>chor.daiin,<-> <!plant>
"f2v.3,+P0;H",otchy.chor.lshy.chol.chody.chodain<-><!plant>chcthy.daiin,<-> <!plant>
"f2v.4,+P0;H",sho.cholo.cheor.chodaiin<$>,<$>
"f2v.5,+P0;H",kchor.shy.daiiin.chckhoy<-><!plant>s.shey.dor.chol.daiin,<-> <!plant>
"f2v.6,+P0;H",dor.chol.chor.chol.keol.chy.chty<-><!plant>daiin.otchor.chan,<-> <!plant>
"f2v.7,+P0;H",daiin.chotchey.qoteeey.chokeos<-><!plant>chees.chr.cheaiin,<-> <!plant>
"f2v.8,+P0;H",chokoishe.chor.cheol.chol.dolody<$><!plant>,<$> <!plant>
"f3r.2,+P0;H",ycheor.chor.dam.qotcham.cham<-><!plant>,<-> <!plant>
"f3r.3,+P0;H",ochor.qocheor.chol.daiin.cthy<-><!plant>,<-> <!plant>
"f3r.4,+P0;H",schey.chor.chal.cham.cham.cho<-><!plant>,<-> <!plant>
"f3r.5,+P0;H",qokol.chololy.s.cham.cthol<-><!plant>,<-> <!plant>
"f3r.6,+P0;H",ychtaiin.chor.cthom.otal.dam<-><!plant>,<-> <!plant>
"f3r.7,+P0;H",otchol.qodaiin.chom.shom.damo<-><!plant>,<-> <!plant>
"f3r.8,+P0;H",ysheor.chor.chol.oky.damo<-><!plant>,<-> <!plant>
"f3r.9,+P0;H",sho.?or.sheoldam.otchody.ol<-><!plant>,<-> <!plant>
"f3r.10,+P0;H",ydas.chol.cthom<$>,<$>
"f3r.12,+P0;H",okadaiin.qokchor.qoschodam.octhy<-><!plant>,<-> <!plant>
