section_pair,section_jsd_bits,exp002b_position_min_jsd_bits,exp002b_position_mean_jsd_bits,exp002b_position_max_jsd_bits
astronomical vs biological,0.7132735389659056,0.43994932334109943,0.5398947694637786,0.674520700840175
astronomical vs cosmological,0.6225355171064655,0.43994932334109943,0.5398947694637786,0.674520700840175
astronomical vs herbal,0.6088666535195559,0.43994932334109943,0.5398947694637786,0.674520700840175
astronomical vs pharmaceutical,0.5962263607338256,0.43994932334109943,0.5398947694637786,0.674520700840175
astronomical vs stars,0.6690405386257614,0.43994932334109943,0.5398947694637786,0.674520700840175
astronomical vs text,0.6507669577149167,0.43994932334109943,0.5398947694637786,0.674520700840175
astronomical vs zodiac,0.6627228329797061,0.43994932334109943,0.5398947694637786,0.674520700840175
biological vs cosmological,0.5061078146284147,0.43994932334109943,0.5398947694637786,0.674520700840175
biological vs herbal,0.4985178537863961,0.43994932334109943,0.5398947694637786,0.674520700840175
biological vs pharmaceutical,0.5958551512680121,0.43994932334109943,0.5398947694637786,0.674520700840175
biological vs stars,0.3347291601069759,0.43994932334109943,0.5398947694637786,0.674520700840175
biological vs text,0.5113033374073725,0.43994932334109943,0.5398947694637786,0.674520700840175
biological vs zodiac,0.6898941491112591,0.43994932334109943,0.5398947694637786,0.674520700840175
cosmological vs herbal,0.4421483043194374,0.43994932334109943,0.5398947694637786,0.674520700840175
cosmological vs pharmaceutical,0.5613311195084363,0.43994932334109943,0.5398947694637786,0.674520700840175
cosmological vs stars,0.44201233814307345,0.43994932334109943,0.5398947694637786,0.674520700840175
cosmological vs text,0.46739630245416325,0.43994932334109943,0.5398947694637786,0.674520700840175
cosmological vs zodiac,0.5691746571897496,0.43994932334109943,0.5398947694637786,0.674520700840175
herbal vs pharmaceutical,0.44591760119837986,0.43994932334109943,0.5398947694637786,0.674520700840175
herbal vs stars,0.4462304641923659,0.43994932334109943,0.5398947694637786,0.674520700840175
herbal vs text,0.46185079406885043,0.43994932334109943,0.5398947694637786,0.674520700840175
herbal vs zodiac,0.6201059151002524,0.43994932334109943,0.5398947694637786,0.674520700840175
pharmaceutical vs stars,0.5451207646113809,0.43994932334109943,0.5398947694637786,0.674520700840175
pharmaceutical vs text,0.5538883366031113,0.43994932334109943,0.5398947694637786,0.674520700840175
pharmaceutical vs zodiac,0.633676323360163,0.43994932334109943,0.5398947694637786,0.674520700840175
stars vs text,0.47953324768089006,0.43994932334109943,0.5398947694637786,0.674520700840175
stars vs zodiac,0.6102496055949201,0.43994932334109943,0.5398947694637786,0.674520700840175
text vs zodiac,0.6146855682868653,0.43994932334109943,0.5398947694637786,0.674520700840175
