section_a,section_b,common_sample_size,observed_exp003_jsd_bits,jsd_mean_bits,jsd_std_bits,jsd_median_bits,jsd_q025_bits,jsd_q975_bits,difference_vs_observed_bits
astronomical,biological,850,0.7132735389659056,0.7512128927329023,0.00968715626133246,0.7508216772864253,0.7328960008335974,0.7704689271708072,0.03793935376699664
astronomical,cosmological,850,0.6225355171064655,0.6637691790618065,0.009016714484103596,0.6637376047592352,0.6461874226394633,0.6822506233829027,0.04123366195534106
astronomical,herbal,850,0.6088666535195559,0.672060375628449,0.01089475105555089,0.671769319515723,0.6509054783278527,0.6930030127470912,0.06319372210889307
astronomical,pharmaceutical,850,0.5962263607338256,0.6351494028645018,0.0089727304263285,0.6348655212359356,0.6177835232061237,0.6532288459213799,0.03892304213067621
astronomical,stars,850,0.6690405386257614,0.725113821361959,0.01060228027409446,0.725195637988981,0.703108073383227,0.7451951827923308,0.056073282736197605
astronomical,text,850,0.6507669577149167,0.6787709402403562,0.008310691708131061,0.6788766225250877,0.662604962796689,0.6952622524655437,0.028003982525439564
astronomical,zodiac,850,0.6627228329797061,0.680827440288999,0.0066812927262843505,0.6806544139420612,0.6679423726362131,0.6941427970303724,0.018104607309292864
biological,cosmological,850,0.5061078146284147,0.6150529468435264,0.015036705006771933,0.6144067737419531,0.586463928961062,0.6445887648722028,0.1089451322151117
biological,herbal,850,0.4985178537863961,0.647817579626785,0.01698009309187571,0.6474359590667129,0.6165851150838972,0.682615393013613,0.14929972584038886
biological,pharmaceutical,850,0.5958551512680121,0.6825094751983235,0.01446064214742768,0.6827586714226503,0.6541406267683424,0.7102219118131874,0.08665432393031136
biological,stars,850,0.3347291601069759,0.5133877274319135,0.015650743359103048,0.5132577054147813,0.48357534278094755,0.5432914222838037,0.17865856732493762
biological,text,850,0.5113033374073725,0.606053449199704,0.014078814901083227,0.6069357183923796,0.5784431653553963,0.6323698890766665,0.0947501117923315
biological,zodiac,850,0.6898941491112591,0.7446427354497978,0.012310378214269575,0.7444028729743262,0.7208805764291982,0.7682798458837763,0.05474858633853863
cosmological,herbal,850,0.4421483043194374,0.5960642991912963,0.014663405782616382,0.5963657217391771,0.5665251236522807,0.624515752349298,0.15391599487185892
cosmological,pharmaceutical,850,0.5613311195084363,0.6488501988352975,0.013882763126934483,0.6486141151322105,0.6209138136364577,0.6756992007623629,0.0875190793268612
cosmological,stars,850,0.44201233814307345,0.5906376203487947,0.014648189647857975,0.5905967913944402,0.5621735167561485,0.6192852100190609,0.1486252822057213
cosmological,text,850,0.46739630245416325,0.5629996335649917,0.012338632316761657,0.563160834180275,0.5368647133139818,0.5860659708843169,0.09560333111082847
cosmological,zodiac,850,0.5691746571897496,0.6350069541468991,0.011435523322846183,0.6349341939228117,0.6125519843994433,0.6574423868417177,0.06583229695714954
herbal,pharmaceutical,850,0.44591760119837986,0.5916353172111218,0.01510556526883356,0.5914130923848157,0.5626438853506208,0.6218993645202305,0.14571771601274197
herbal,stars,850,0.4462304641923659,0.6501049318500001,0.015934112077714245,0.6496731460083509,0.6176311109647263,0.6805542173043007,0.20387446765763417
herbal,text,850,0.46185079406885043,0.5906092152071051,0.013987433874392911,0.5903312852700393,0.5634693007638941,0.6171392089952916,0.12875842113825464
herbal,zodiac,850,0.6201059151002524,0.7032732975244497,0.013108804880105358,0.7032165760339235,0.6790153336870797,0.7302592464053741,0.0831673824241973
pharmaceutical,stars,850,0.5451207646113809,0.6698749662067693,0.01473338544402266,0.6697260003566933,0.6418470094593911,0.7003377018747762,0.12475420159538841
pharmaceutical,text,850,0.5538883366031113,0.6318733094569725,0.012355204809401353,0.63190941726208,0.6080828267338644,0.6571126498917808,0.07798497285386119
pharmaceutical,zodiac,850,0.633676323360163,0.6910755731862614,0.012262416112079169,0.6909237399303442,0.668203703471231,0.7169038771772311,0.05739924982609845
stars,text,850,0.47953324768089006,0.6069296525150496,0.013976479843660307,0.6068851056172385,0.5788220458949368,0.6324771667445904,0.12739640483415954
stars,zodiac,850,0.6102496055949201,0.6908359097692789,0.012611933485191264,0.6909791699859713,0.6666700104321643,0.7162589136926095,0.08058630417435875
text,zodiac,850,0.6146855682868653,0.6666041565900942,0.011110161926395475,0.6667247780684309,0.6441127593359796,0.6872259564386567,0.05191858830322893
