section_a,section_b,token_count_a,token_count_b,jensen_shannon_divergence_bits
astronomical,biological,850,6918,0.7132735389659056
astronomical,cosmological,850,2550,0.6225355171064655
astronomical,herbal,850,11418,0.6088666535195559
astronomical,pharmaceutical,850,2579,0.5962263607338256
astronomical,stars,850,10694,0.6690405386257614
astronomical,text,850,1626,0.6507669577149167
astronomical,zodiac,850,1332,0.6627228329797061
biological,cosmological,6918,2550,0.5061078146284147
biological,herbal,6918,11418,0.4985178537863961
biological,pharmaceutical,6918,2579,0.5958551512680121
biological,stars,6918,10694,0.3347291601069759
biological,text,6918,1626,0.5113033374073725
biological,zodiac,6918,1332,0.6898941491112591
cosmological,herbal,2550,11418,0.4421483043194374
cosmological,pharmaceutical,2550,2579,0.5613311195084363
cosmological,stars,2550,10694,0.44201233814307345
cosmological,text,2550,1626,0.46739630245416325
cosmological,zodiac,2550,1332,0.5691746571897496
herbal,pharmaceutical,11418,2579,0.44591760119837986
herbal,stars,11418,10694,0.4462304641923659
herbal,text,11418,1626,0.46185079406885043
herbal,zodiac,11418,1332,0.6201059151002524
pharmaceutical,stars,2579,10694,0.5451207646113809
pharmaceutical,text,2579,1626,0.5538883366031113
pharmaceutical,zodiac,2579,1332,0.633676323360163
stars,text,10694,1626,0.47953324768089006
stars,zodiac,10694,1332,0.6102496055949201
text,zodiac,1626,1332,0.6146855682868653
