currier_language,rank,token,count,share
A,1,daiin,512,0.04471615720524017
A,2,chol,280,0.02445414847161572
A,3,chor,182,0.01589519650655022
A,4,s,169,0.014759825327510917
A,5,dy,124,0.010829694323144104
A,6,shol,118,0.010305676855895196
A,7,sho,106,0.00925764192139738
A,8,ol,103,0.008995633187772925
A,9,chy,103,0.008995633187772925
A,10,cthy,101,0.008820960698689956
A,11,or,100,0.008733624454148471
A,12,dar,96,0.008384279475982533
A,13,dain,93,0.008122270742358079
A,14,dal,85,0.007423580786026201
A,15,y,81,0.007074235807860262
A,16,chey,78,0.006812227074235808
A,17,aiin,73,0.006375545851528384
A,18,cheol,71,0.006200873362445415
A,19,shor,69,0.0060262008733624455
A,20,shy,66,0.005764192139737992
A,21,dol,63,0.005502183406113537
A,22,shey,60,0.005240174672489083
A,23,cheor,59,0.005152838427947598
A,24,cthol,56,0.004890829694323144
A,25,dor,51,0.00445414847161572
A,26,qotchy,51,0.00445414847161572
A,27,cho,49,0.004279475982532751
A,28,okol,48,0.004192139737991266
A,29,dam,47,0.004104803493449782
A,30,qokol,46,0.004017467248908297
B,1,chedy,491,0.021141922149500517
B,2,ol,421,0.018127798828797795
B,3,shedy,418,0.017998622115053393
B,4,aiin,352,0.015156734412676542
B,5,daiin,315,0.013563554943162246
B,6,qokeedy,305,0.013132965897347571
B,7,qokain,275,0.011841198759903549
B,8,qokedy,271,0.011668963141577678
B,9,qokeey,264,0.011367550809507406
B,10,or,250,0.010764726145366861
B,11,ar,250,0.010764726145366861
B,12,chey,250,0.010764726145366861
B,13,qokaiin,240,0.010334137099552188
B,14,shey,204,0.00878401653461936
B,15,dar,188,0.00809507406131588
B,16,al,186,0.008008956252152945
B,17,qokal,169,0.007276954874267999
B,18,okaiin,168,0.007233895969686531
B,19,otedy,151,0.0065018945918015845
B,20,qol,145,0.0062435411643127795
B,21,qokar,137,0.005899069927661041
B,22,okain,136,0.0058560110230795725
B,23,chdy,134,0.005769893213916638
B,24,dal,133,0.00572683430933517
B,25,cheey,128,0.005511539786427834
B,26,okeey,123,0.005296245263520496
B,27,chckhy,120,0.005167068549776094
B,28,lchedy,118,0.005080950740613159
B,29,otar,114,0.004908715122287289
B,30,dain,114,0.004908715122287289
